,customer_ID,customer_name,users,signup_date,logins,toal_logins,last_login,pipelines,templates,deployments,score,type
96,683466d6-d8dc-4e3c-97a6-3bb43f6263ec,Company97.com,3,5/1/18,18,2,1/4/19,0,0,0,110,Trial
97,a1881208-2102-48b0-8975-3e64a48f6a98,Company98.com,1,10/26/18,8,8,1/3/19,1,2,3,195,Paid
98,0ac7383f-a8ed-4fda-8331-6a1de65ebce8,Company99.com,3,6/8/18,12,1,10/24/18,0,0,0,81,Trial
99,3d9deab1-e5d4-4175-93f4-aa8bb67ecb08,Company100.com,5,9/5/18,14,11,1/25/19,3,25,21,283,Trial
100,3cf52fc8-bc7d-4755-983a-bbdca41a768d,Company101.com,3,9/14/18,13,5,10/25/18,8,23,67,289,Paid
101,2f91750f-d81d-42bf-afda-dfda1a978b59,Company102.com,2,6/29/18,30,1,11/20/18,2,2,1,175,Trial
102,ee55bd84-3d5e-4dd9-bf78-2d4528027170,Company103.com,9,8/20/18,82,10,1/3/19,6,36,43,312,Trial
103,22565d8d-8817-468f-9b53-232686c0580d,Company104.com,8,8/20/18,5,0,8/26/18,0,1,1,164,Trial
104,527a6fe9-5cd9-49a5-9ff4-dd911ea46e9b,Company105.com,2,4/30/18,2,0,4/30/18,0,0,0,31,Trial
105,a6fbdc99-4fcc-44ac-825f-12bd5cc7f306,Company106.com,9,8/20/18,17,4,1/25/19,4,5,3,238,Trial
106,ce940529-1da3-4349-822f-b6a9034c6a08,Company107.com,9,8/20/18,12,1,1/24/19,4,0,0,160,Trial
107,54282361-f508-48fb-b6e6-46dfe96e8efb,Company108.com,13,8/23/18,13,7,1/25/19,2,5,4,248,Trial
108,7c6b36ef-7829-46a8-9618-5b294f8c161e,Company109.com,81,6/8/18,546,435,1/26/19,52,322,627,374,Trial
109,7e1ccec9-6403-4c44-b076-4d6772a2b3be,Company110.com,5,9/5/18,9,6,1/9/19,2,8,24,257,Trial
110,ae5deab3-1646-4ed4-bb25-f79aa3e60aa8,Company111.com,1,8/15/18,1,0,8/14/18,0,0,0,9,Trial
111,a9bd9436-9b66-4829-b6f7-6e60e3694653,Company111.com,5,6/8/18,133,58,1/25/19,5,30,10,297,Trial
112,ab190ce6-bdbb-406d-b6c4-861175774872,Company112.com,8,8/20/18,6,0,8/26/18,0,0,0,90.5,Trial
113,f21272f4-db4a-4582-9812-2170443d6159,Company114.com,3,4/9/18,14,1,1/3/19,0,0,0,81,Trial
114,071a61e3-27bb-4a40-98d1-91217f35d0d8,Company115.com,2,4/30/18,4,0,7/17/18,0,0,0,31,Trial
115,5418d810-9d54-4698-9ead-9dfae493fd87,Company116.com,8,10/20/18,36,36,1/21/19,4,13,58,316.5,Trial
116,89f69133-ca8f-4727-bf04-d4252bfad509,Company117.com,8,8/20/18,76,31,1/24/19,6,44,82,328,Trial
117,d6031d06-0967-43f6-9ffd-fb35a6f5ea41,Company118.com,9,6/8/18,13,2,12/11/18,0,0,0,141,Trial
118,3108f1f2-953e-4aa1-8707-5db1d28be878,Company119.com,2,6/8/18,1,1,1/18/19,0,0,0,67.5,Trial
119,4be0269e-0816-4c8d-8600-1a6def07d8eb,Company120.com,1,4/9/18,23,3,1/3/19,1,0,1,166,Trial
120,f6b7f8f9-38c6-47c1-9346-3d7112265356,Company121.com,9,8/20/18,40,11,12/20/18,0,16,35,278,Trial
121,9ee43321-02b5-4a37-9d85-1f8324d24961,Company122.com,3,8/20/18,17,3,1/9/19,0,0,0,124.5,Trial
122,978a7872-5de7-405b-b3ab-cf1f97b55bf8,Company123.com,1,8/15/18,1,0,8/14/18,0,0,0,9,Trial
123,59da3b88-a7f8-4b8e-bdf3-4088c9bfe02e,Company124.com,5,9/5/18,6,3,1/25/19,2,5,4,214,Trial
124,024bdd34-74d5-476b-9da1-220913b76a8b,Company126.com,3,6/8/18,52,25,1/24/19,5,42,39,306,Trial
125,4e225710-75c0-4af6-82b4-61b2116f9c0a,Company126.com,2,12/8/18,4,4,1/14/19,0,0,0,119.5,Trial
126,1cb3bfc7-d738-4828-b8c7-7d09116c3271,Company127.com,5,8/20/18,33,9,1/8/19,1,12,17,255,Trial
127,e4c4ff32-38b4-4d2d-8a7f-35ae6583e5ac,Company128.com,5,9/5/18,5,2,10/22/18,0,0,0,122.5,Trial
128,d51013ec-ac68-47bb-af2c-6531867017da,Company129.com,5,10/5/18,24,24,1/24/19,1,1,2,226,Trial
129,196d0bb2-034f-4564-8c19-d34347c08ad7,Company130.com,16,6/29/18,142,127,1/26/19,2,312,2579,355,Trial
130,bd3a1a9d-4476-4450-bd82-cac1aab67e3e,Company131.com,3,6/29/18,11,0,7/9/18,0,0,0,49.5,Trial
131,074f0866-a206-40a3-948f-816fdb36573d,Company2.com,71,6/8/18,990,400,1/25/19,10,80,136,362,Trial
132,6ff2d63a-9dbf-4eb2-997c-6e6971db9b6b,Company133.com,10,8/20/18,13,2,1/24/19,4,5,21,258,Trial
133,c0471f73-5226-4a6d-9407-4d1b82b85045,Company134.com,2,6/29/18,10,1,1/3/19,0,0,0,67.5,Trial
134,d8a8bbc7-9866-471c-9edd-513af3c12cc5,Company135.com,3,4/9/18,10,4,10/29/18,0,0,0,131,Trial
135,04999502-34a4-49f2-b901-148713172e81,Company2.com,30,8/20/18,76,71,1/25/19,3,12,13,308,Trial
136,feb27e5e-706f-4beb-813f-c4bdeac6b43b,Company2.com,30,8/15/18,132,128,1/25/19,7,107,886,365.5,Trial
137,8025f2a6-f5cb-41c1-8e5e-62000ffcaaa2,Company138.com,2,5/21/18,15,0,7/20/18,0,0,0,31,Trial
138,317d3341-8498-4442-9a80-bf5a18526b14,Company2.com,18,6/8/18,13,1,1/25/19,0,0,0,134.5,Trial
139,1357c7b5-63e2-419a-8662-c9e8c7e6fc2f,Company2.com,2,6/29/18,45,34,1/25/19,10,95,182,320,Trial
140,21af4d10-6194-472e-9f36-70439fa72f3e,Company141.com,19,9/25/18,7,4,1/24/19,0,1,0,173,Paid
141,1cdece1a-7bb7-4cbc-bae8-6a8febd951d1,Company2.com,6,9/5/18,9,6,1/9/19,1,6,6,234,Trial
142,a710d6b8-59e6-4d7e-9921-fda9be95b562,Company2.com,8,8/20/18,7,4,12/19/18,0,1,0,163,Trial
143,c3b04949-007a-4f11-a8f4-b541045eddee,Company2.com,5,9/5/18,16,12,1/25/19,2,11,7,253,Trial
144,a6764c90-933b-4b62-8f8d-0aafa4c7052f,Company2.com,9,8/20/18,14,3,1/24/19,4,6,6,244,Trial
145,9c7adf46-ae6f-4258-8a94-804376f3e311,Company2.com,14,8/20/18,104,72,1/24/19,3,9,32,316.5,Trial
